ISIN code,dom_country,economic_sector,industry
ARP125991090,Argentina,Banks,Diversified Banks
ARBANS010010,Argentina,Banks,Diversified Banks
ARP2354W1188,Argentina,Utilities,Independent Power Producers and Energy Traders
ARP331091024,Argentina,"Food, Beverage and Tobacco",Agricultural Products and Services
ARCABH300011,Argentina,Media and Entertainment,Cable and Satellite
ARP495251018,Argentina,Banks,Diversified Banks
ARP588091073,Argentina,Real Estate Management and Development,Real Estate Operating Companies
ARP432631215,Argentina,Utilities,Electric Utilities
ARGRSU300079,Argentina,Banks,Diversified Banks
ARP9028N1016,Argentina,Telecommunication Services,Integrated Telecommunication Services
ARP9308R1039,Argentina,Energy,Oil and Gas Storage and Transportation
ARP9897X1319,Argentina,Energy,Integrated Oil and Gas
AU0000003PL9,Australia,Consumer Services,Education Services
AU0000049033,Australia,Materials,Diversified Metals and Mining
AU0000032187,Australia,Transportation,Passenger Ground Transportation
AU000000ABC7,Australia,Materials,Construction Materials
AU000000ACR3,Australia,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
AU000000AD88,Australia,Technology Hardware and Equipment,Electronic Manufacturing Services
AU000000AGI3,Australia,Consumer Services,Casinos and Gaming
AU000000AGL7,Australia,Utilities,Multi-Utilities
AU000000AIS8,Australia,Materials,Copper
AU0000088338,Australia,Energy,Oil and Gas Refining and Marketing
AU0000027484,,,
AU000000ALK9,Australia,Materials,Gold
AU000000ALL7,Australia,Consumer Services,Casinos and Gaming
AU000000ALQ6,Australia,Commercial and Professional Services,Research and Consulting Services
AU000000ALU8,United States,Software and Services,Application Software
AU0000013559,Australia,Transportation,Highways and Railtracks
AU000000ANN9,Australia,Health Care Equipment and Services,Health Care Supplies
AU000000ANZ3,Australia,Banks,Diversified Banks
AU000000APA1,Australia,Utilities,Gas Utilities
AU000000APX3,Australia,Software and Services,IT Consulting and Other Services
AU000000ASB3,Australia,Capital Goods,Aerospace and Defense
AU000000ASX7,Australia,Financial Services,Financial Exchanges and Data
AU000000AWC3,Australia,Materials,Aluminum
AU000000AZJ1,Australia,Transportation,Rail Transportation
AU000000BAP9,Australia,Consumer Discretionary Distribution and Retail,Distributors
AU000000BCI0,Australia,Materials,Steel
AU000000BHP4,Australia,Materials,Diversified Metals and Mining
AU000000BKW4,Australia,Materials,Construction Materials
AU000000BOQ8,Australia,Banks,Regional Banks
AU000000BPT9,Australia,Energy,Oil and Gas Exploration and Production
AU000000BRG2,Australia,Consumer Durables and Apparel,Household Appliances
AU000000BRK4,Australia,Energy,Oil and Gas Exploration and Production
AU000000BRU3,Australia,Energy,Oil and Gas Exploration and Production
AU000000BSE5,Australia,Materials,Diversified Metals and Mining
AU000000BSL0,Australia,Materials,Steel
AU000000BXB1,Australia,Commercial and Professional Services,Diversified Support Services
AU000000CAT9,Australia,Software and Services,Application Software
AU000000CBA7,Australia,Banks,Diversified Banks
AU0000031767,Australia,Consumer Discretionary Distribution and Retail,Apparel Retail
AU000000CDA3,Australia,Technology Hardware and Equipment,Electronic Equipment and Instruments
AU000000CHC0,Australia,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AU000000CIA2,Australia,Materials,Steel
AU000000COH5,Australia,Health Care Equipment and Services,Health Care Equipment
AU0000030678,Australia,Consumer Staples Distribution and Retail,Food Retail
AU000000CPU5,Australia,Commercial and Professional Services,Data Processing and Outsourced Services
AU000000CSL8,Australia,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
AU000000CSR5,Australia,Materials,Construction Materials
AU000000CUV3,Australia,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
AU000000CWN6,Australia,Consumer Services,Casinos and Gaming
AU000000CWY3,Australia,Commercial and Professional Services,Environmental and Facilities Services
AU000000DMP0,Australia,Consumer Services,Restaurants
AU000000DOW2,Australia,Commercial and Professional Services,Diversified Support Services
AU0000107484,Australia,Materials,Steel
AU000000DTZ4,Australia,Technology Hardware and Equipment,Electronic Components
AU000000DXS1,Australia,Equity Real Estate Investment Trusts (REITs),Office REITs
AU0000154833,Australia,Consumer Staples Distribution and Retail,Food Retail
AU000000EML7,Australia,Financial Services,Transaction and Payment Processing Services
AU000000EQT1,Australia,Financial Services,Asset Management and Custody Banks
AU000000EVN4,Australia,Materials,Gold
AU000000EWC5,Australia,Utilities,Independent Power Producers and Energy Traders
AU000000FLT9,Australia,Consumer Services,"Hotels, Resorts and Cruise Lines"
AU000000FMG4,Australia,Materials,Steel
AU000000GMG2,Australia,Equity Real Estate Investment Trusts (REITs),Industrial REITs
AU000000GNC9,Australia,Consumer Staples Distribution and Retail,Food Distributors
AU000000GOR5,Australia,Materials,Gold
AU000000GPT8,Australia,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AU000000GRR8,Australia,Materials,Steel
AU0000121337,Australia,Financial Services,Consumer Finance
AU000000HVN7,Australia,Consumer Discretionary Distribution and Retail,Broadline Retail
AU000000IAG3,Australia,Insurance,Property and Casualty Insurance
AU000000IDX2,Australia,Health Care Equipment and Services,Health Care Services
AU000000IGL0,Australia,Materials,Diversified Metals and Mining
AU000000IGO4,Australia,Materials,Diversified Metals and Mining
AU000000ILU1,Australia,Materials,Diversified Metals and Mining
AU000000IMD5,Australia,Materials,Diversified Metals and Mining
AU000000IMM6,Australia,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
AU000000INA9,Australia,Equity Real Estate Investment Trusts (REITs),Multi-Family Residential REITs
AU000000IPH9,Australia,Commercial and Professional Services,Research and Consulting Services
AU000000IPL1,Australia,Materials,Diversified Chemicals
AU000000IRE2,Australia,Software and Services,Application Software
AU000000JBH7,Australia,Consumer Discretionary Distribution and Retail,Computer and Electronics Retail
AU000000JHX1,Ireland,Materials,Construction Materials
AU000000KAR6,Australia,Energy,Oil and Gas Exploration and Production
AU000000KCN1,Australia,Materials,Gold
AU000000KGN2,Australia,Consumer Discretionary Distribution and Retail,Broadline Retail
AU000000LLC3,Australia,Real Estate Management and Development,Diversified Real Estate Activities
AU000000LOV7,Australia,Consumer Discretionary Distribution and Retail,Other Specialty Retail
AU000000LYC6,Australia,Materials,Diversified Metals and Mining
AU000000MAH3,Australia,Materials,Diversified Metals and Mining
AU000000MFG4,Australia,Financial Services,Asset Management and Custody Banks
AU000000MGR9,Australia,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AU000000MGX7,Australia,Materials,Steel
AU000000MIN4,Australia,Materials,Diversified Metals and Mining
AU000000MLX7,Australia,Materials,Diversified Metals and Mining
AU000000MMS5,Australia,Commercial and Professional Services,Human Resource and Employment Services
AU000000MND5,Australia,Capital Goods,Construction and Engineering
AU000000MP15,Australia,Software and Services,Internet Services and Infrastructure
AU000000MPL3,Australia,Insurance,Life and Health Insurance
AU000000MQG1,Australia,Financial Services,Diversified Capital Markets
AU000000MSB8,Australia,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
AU000000MTS0,Australia,Consumer Staples Distribution and Retail,Food Distributors
