RGS Product Category,RGS Product Category Description
Game Software Products and Related Services,"Video game software that can be played and watched on consoles, PCs, mobile phones, tablets, etc., and related services including virtual currency, add-on content, and in-game purchases."
Audio Streaming Services,"Streaming of audio files like music, podcasts, voice-overs, lectures, etc. over the internet"
Video Content Production and Distribution Services,"The production of films, news, television, online series, etc.; and/or their distribution via broadcast / cable & satellite / licensing / streaming services."
Live Events Entertainment,"The organization, promotion, and execution of live performances and events, including concerts, theater productions, sports events, and festivals."
Music Publishing,"The industry involved in protecting, administering, and monetizing copyrights in music, which includes securing royalties through licensing, distribution, and managing the rights associated with songs."
Stored Entertainment Media,"All physical entertainment media storage such as DVDs, CDs, and vinyls."
Digital Goods and Services,"This category encompasses a wide range of virtual products and online offerings, including app sales, in-app purchases, subscriptions, digital media content (e.g., music, videos, e-books), and any other digital services provided over the internet."
Search Engines,Software system designed to carry out searches of the world wide web. 
Online Marketplace,An online marketplace is a digital platform where multiple vendors can sell their products or services to customers.
Social Media,"Interactive technologies that facilitate the creation, distribution, and sharing of information."
Marketing and Sales,"Advertising conceptualisation and production across all media, adversiting spots, marketing strategy and performance, sales, and related services. "
Book Publishing,Preparing and issuing books and comics for sale both online and in hard copies.
News Publishing,Preparing and issuing newspapers and magazines for sale both online and in hard copies.
Wireless and Broadband Telecommunication Services,"Wireless and broadband voice and data services for transmission of voice, data, texts, sound and images, as well as Internet access."
EV Chargers,"Devices and infrastructure for charging electric vehicles, including various types of charging stations like Level 1, Level 2, and DC fast chargers, aimed at supporting the growing adoption of electric mobility."
Automotive Rubber Products,"Tires and various other rubber products essential for vehicle performance and safety, such as seals, hoses, and belts, primarily used in the automotive industry"
Automobiles and Related Parts,"Manufacturing of cars, vans, light trucks (excl. heavy trucks), and related parts"
Marine Vehicles and Parts,"All types of watercraft used for recreation, transportation, and commercial purposes, such as boats, yachts, and jet skis, along with their associated components and parts like engines, propellers, and navigation systems."
Mobility Solutions,Products that enabled enhanced mobility for otherwise disabled peoples such as mobility scooters.
