RGS Product Category,Technology Innovation,Automation/Robotics
Game Software Products and Related Services,TRUE,FALSE
Audio Streaming Services,TRUE,FALSE
Video Content Production and Distribution Services,FALSE,FALSE
Live Events Entertainment,FALSE,FALSE
Music Publishing,FALSE,FALSE
Stored Entertainment Media,FALSE,FALSE
"Websites, Apps, and Online Platforms & Services",TRUE,FALSE
Search Engines,TRUE,FALSE
Marketing and Sales,FALSE,FALSE
Book Publishing,FALSE,FALSE
News Publishing,FALSE,FALSE
Wireless and Broadband Telecommunication Services,FALSE,FALSE
EV Chargers,FALSE,FALSE
Automotive Rubber Products,FALSE,FALSE
Automobiles and Related Parts,TRUE,FALSE
Marine Vehicles and Parts,FALSE,FALSE
Mobility Solutions,FALSE,FALSE
Other Vehicles,FALSE,FALSE
Bicycles and Related Parts,FALSE,FALSE
"Motorcycles, Scooters, and Related Parts",FALSE,FALSE
Agricultural Fabrics,FALSE,FALSE
Industrial and Engineering Textiles,FALSE,FALSE
Unprocessed Textiles,FALSE,FALSE
Gaming Hardware Products,FALSE,FALSE
Cameras and Projectors,TRUE,TRUE
Wearable Devices and Home Entertainment Electronics,TRUE,FALSE
"Interior, Furnishings and Decor",FALSE,FALSE
Major Domestic Appliances,FALSE,FALSE
Small Domestic Appliances,FALSE,FALSE
Water Appliances,FALSE,FALSE
Kitchenwares,FALSE,FALSE
Housewares,FALSE,FALSE
"Board Games, Dolls, and Toys",FALSE,FALSE
Hobby and Leisure Products,FALSE,FALSE
"Sports, Hunting and Fishing Equipment",FALSE,FALSE
Bags and Fashion Accessories,FALSE,FALSE
Apparel,FALSE,FALSE
Watches and Jewellery,FALSE,FALSE
Footwear,FALSE,FALSE
Bookshops and Libraries,FALSE,FALSE
Education and Education Services,FALSE,FALSE
Cleaning Services,FALSE,FALSE
Design Services,FALSE,FALSE
Food Services,FALSE,FALSE
Legal Services,FALSE,FALSE
Other Consumer Services,FALSE,FALSE
Cruise Lines,FALSE,FALSE
Hotels,FALSE,FALSE
Travel Support Services,FALSE,FALSE
Amusement and Theme Parks,FALSE,FALSE
Leisure Facilities,FALSE,FALSE
Gambling,FALSE,FALSE
Bars and Pubs,FALSE,FALSE
Cafes and Coffee Houses,FALSE,FALSE
Quick Service Restaurants and Takeaways,FALSE,FALSE
Restaurant Support Services,FALSE,FALSE
Restaurants,FALSE,FALSE
Consumer Goods Distribution,FALSE,FALSE
Apparel Retail,FALSE,FALSE
Automobile Maintenance and Repair Services,FALSE,FALSE
Automotive Retail,FALSE,FALSE
Bike Maintenance and Repair Services,FALSE,FALSE
Vehicle Refueling Services,FALSE,FALSE
Computer and Electronics Retail,FALSE,FALSE
Home Furnishing Retail,FALSE,FALSE
