ISIN,Company Name,Year,RGS Product Category,Company Product Category Revenue
AEA000201011,Abu Dhabi Commercial Bank,2021,Corporate and Commercial Banking Services,3337650694
AEA002401015,Abu Dhabi National Energy Company,2021,Generators and Power Turbines,3358834740
AEA002401015,Abu Dhabi National Energy Company,2021,Oil and Gas Services,1913694528
AEA002401015,Abu Dhabi National Energy Company,2021,"Power Distribution, Storage and Grid Maintenance",7059079771
AEA006101017,Abu Dhabi National Oil Company for Distribution PJSC,2021,Petroleum,1281897631
AEA006101017,Abu Dhabi National Oil Company for Distribution PJSC,2021,Vehicle Refueling Services,4414022597
AED000201015,Dubai Islamic Bank PJSC,2021,Corporate and Commercial Banking Services,2361834741
AED000201015,Dubai Islamic Bank PJSC,2021,Specialized Finance Institutions and Services,203256194
AEDFXA0M6V00,DP World PLC,2021,"Industrial Property Acquisition, Development, Leasing and Management",44925000
AEDFXA0M6V00,DP World PLC,2021,Marine Ports and Services,10733063000
AEE000701012,Emirates Integrated Telecommunications Company PJSC,2021,Wireless and Broadband Telecommunication Services,3180498230
AN8068571086,Schlumberger N.V.,2016,Oil and Gas Equipment,4149231505.10204
AN8068571086,Schlumberger N.V.,2016,Oil and Gas Services,23660768494.898
AN8068571086,Schlumberger N.V.,2017,Oil and Gas Equipment,5107349622.8483
AN8068571086,Schlumberger N.V.,2017,Oil and Gas Services,25332650377.1517
AN8068571086,Schlumberger N.V.,2018,Oil and Gas Equipment,5086093679.69523
AN8068571086,Schlumberger N.V.,2018,Oil and Gas Services,27728906320.3048
AN8068571086,Schlumberger N.V.,2019,Oil and Gas Equipment,5265772634.60847
AN8068571086,Schlumberger N.V.,2019,Oil and Gas Services,27651227365.3915
AN8068571086,Schlumberger N.V.,2020,Oil and Gas Services,23601000000
AN8068571086,Schlumberger N.V.,2021,Oil and Gas Services,22929000000
AN8068571086,Schlumberger N.V.,2022,Oil and Gas Services,28091000000
AN8068571086,Schlumberger N.V.,2023,Oil and Gas Services,33135000000
ARBANS010010,Banco Macro SA Class B,2015,Corporate and Commercial Banking Services,2876248629
ARBANS010010,Banco Macro SA Class B,2016,Corporate and Commercial Banking Services,2538106850
ARBANS010010,Banco Macro SA Class B,2017,Corporate and Commercial Banking Services,2902000966
ARBANS010010,Banco Macro SA Class B,2018,Corporate and Commercial Banking Services,1799968761
ARBANS010010,Banco Macro SA Class B,2019,Corporate and Commercial Banking Services,1984056092
ARBANS010010,Banco Macro SA Class B,2020,Corporate and Commercial Banking Services,1346510433
ARBANS010010,Banco Macro SA Class B,2021,Corporate and Commercial Banking Services,2043060000
ARBANS010010,Banco Macro SA Class B,2022,Corporate and Commercial Banking Services,3810085769
ARBANS010010,Banco Macro SA Class B,2023,Corporate and Commercial Banking Services,9665722440
ARCABH300011,Cablevision Holding SA Class B,2017,Wireless and Broadband Telecommunication Services,1715133544
ARCABH300011,Cablevision Holding SA Class B,2019,Wireless and Broadband Telecommunication Services,4909753599
ARCABH300011,Cablevision Holding SA Class B,2022,Wireless and Broadband Telecommunication Services,5576321680
ARGRSU300079,Grupo Supervielle SA Class B,2015,Corporate and Commercial Banking Services,811904904
ARGRSU300079,Grupo Supervielle SA Class B,2016,Corporate and Commercial Banking Services,507586458.245971
ARGRSU300079,Grupo Supervielle SA Class B,2016,Investment and Investment Advisory Services,27673180.1211295
ARGRSU300079,Grupo Supervielle SA Class B,2016,Other Insurance,34362978.8266659
ARGRSU300079,Grupo Supervielle SA Class B,2016,Specialized Finance Institutions and Services,108264340.806234
ARGRSU300079,Grupo Supervielle SA Class B,2017,Corporate and Commercial Banking Services,1107880268
